topic_slug,question,A,B,C,D,correct_answer,explanation_vi,difficulty
chu-de-1-may-tinh-va-cong-dong-bai-1-thong-tin-va-du-lieu,"Theo bài học, ""Thông tin"" là gì?",Những gì đem lại hiểu biết cho con người về thế giới.,"Các con số, văn bản, hình ảnh, âm thanh thu nhận được.",Phương tiện dùng để lưu trữ và truyền tải thông tin.,Các hoạt động của con người trong cuộc sống.,A,Thông tin là những gì đem lại hiểu biết cho con người về thế giới.,1
chu-de-1-may-tinh-va-cong-dong-bai-1-thong-tin-va-du-lieu,"Khi thông tin được ghi lên vật mang tin, nó sẽ trở thành gì?",Một dạng hiểu biết mới.,Dữ liệu.,Một loại vật mang tin khác.,Một thông điệp.,B,"Theo bài học, thông tin được ghi lên vật mang tin sẽ trở thành dữ liệu.",2
chu-de-1-may-tinh-va-cong-dong-bai-1-thong-tin-va-du-lieu,Dữ liệu có thể được thể hiện dưới những dạng nào?,Chỉ có con số và văn bản.,Các cảm xúc và suy nghĩ của con người.,"Con số, văn bản, hình ảnh và âm thanh.",Chỉ có hình ảnh và âm thanh.,C,"Dữ liệu là các con số, văn bản, hình ảnh, âm thanh thu nhận được.",1
chu-de-1-may-tinh-va-cong-dong-bai-1-thong-tin-va-du-lieu,"""Vật mang tin"" được định nghĩa là gì?",Những gì đem lại hiểu biết cho con người.,"Các con số, văn bản, hình ảnh, âm thanh.",Bộ não con người để xử lí thông tin.,Phương tiện dùng để lưu trữ và truyền tải thông tin.,D,Vật mang tin là phương tiện dùng để lưu trữ và truyền tải thông tin.,1
chu-de-1-may-tinh-va-cong-dong-bai-1-thong-tin-va-du-lieu,Mối quan hệ chính giữa dữ liệu và thông tin là gì?,Dữ liệu đem lại thông tin cho con người.,Thông tin là kết quả của việc xử lí dữ liệu.,Thông tin và dữ liệu là hai khái niệm hoàn toàn độc lập.,Dữ liệu chỉ trở thành thông tin khi được máy tính xử lí.,A,"Dữ liệu là 'nguyên liệu thô', thông tin là 'sản phẩm đã chế biến'. Dữ liệu đem lại thông tin cho con người.",2
chu-de-1-may-tinh-va-cong-dong-bai-1-thong-tin-va-du-lieu,Sự hiểu biết mà thông tin đem lại phụ thuộc vào yếu tố nào?,Độ chính xác của dữ liệu.,Người tiếp nhận thông tin đó.,Người tạo ra dữ liệu.,Vật mang tin được sử dụng.,B,Sự hiểu biết mà thông tin đem lại luôn phụ thuộc vào người tiếp nhận thông tin đó.,2
chu-de-1-may-tinh-va-cong-dong-bai-1-thong-tin-va-du-lieu,Bạn An và bạn Bình cùng xem một bản tin dự báo thời tiết bằng tiếng Anh. An hiểu được bản tin còn Bình thì không. Điều này thể hiện điều gì?,Bản tin dự báo thời tiết không phải là dữ liệu.,An có khả năng xử lí thông tin tốt hơn Bình.,Cùng một dữ liệu nhưng không phải lúc nào cũng đem lại thông tin cho mọi người.,Bình không quan tâm đến thông tin thời tiết.,C,"Ví dụ này minh họa rằng sự hiểu biết mà thông tin đem lại phụ thuộc vào người tiếp nhận. Nếu không hiểu ngôn ngữ, dữ liệu sẽ không trở thành thông tin.",3
chu-de-1-may-tinh-va-cong-dong-bai-1-thong-tin-va-du-lieu,Tầm quan trọng của thông tin trong cuộc sống là gì?,Chỉ giúp con người giải trí.,Chỉ cần thiết cho những người làm khoa học.,Giúp máy tính xử lí dữ liệu nhanh hơn.,Giúp con người đưa ra những lựa chọn tốt và đạt hiệu quả cao hơn trong mọi hoạt động.,D,Mọi hoạt động của con người đều cần đến thông tin. Thông tin đúng giúp con người đưa ra những lựa chọn tốt và giúp các hoạt động đạt hiệu quả cao hơn.,2
chu-de-1-may-tinh-va-cong-dong-bai-1-thong-tin-va-du-lieu,Thông tin đúng đem lại lợi ích gì cho con người?,Giúp con người đưa ra những lựa chọn tốt.,Giúp con người ghi nhớ nhiều dữ liệu hơn.,Giúp vật mang tin bền hơn.,Giúp dữ liệu trở nên phức tạp hơn.,A,Thông tin đúng giúp con người đưa ra những lựa chọn tốt.,2
chu-de-1-may-tinh-va-cong-dong-bai-1-thong-tin-va-du-lieu,"Khi có thông tin đúng, hoạt động của con người sẽ như thế nào?",Trở nên chậm chạp hơn.,Đạt hiệu quả cao hơn.,Ít cần đến vật mang tin.,Chỉ cần xử lí ít dữ liệu hơn.,B,Thông tin đúng giúp cho hoạt động của con người đạt hiệu quả cao hơn.,2
chu-de-1-may-tinh-va-cong-dong-bai-2-xu-li-thong-tin,Quá trình xử lí thông tin ở con người gồm mấy hoạt động cơ bản?,Một hoạt động: xử lí thông tin,Hai hoạt động: thu nhận và lưu trữ thông tin,"Ba hoạt động: thu nhận, xử lí và truyền thông tin","Bốn hoạt động: thu nhận, lưu trữ, xử lí và truyền thông tin",D,"Quá trình xử lí thông tin ở con người bao gồm bốn hoạt động cơ bản là thu nhận, lưu trữ, xử lí và truyền thông tin.",1
chu-de-1-may-tinh-va-cong-dong-bai-2-xu-li-thong-tin,Hoạt động nào sau đây KHÔNG phải là một trong bốn hoạt động cơ bản của quá trình xử lí thông tin?,Thu nhận thông tin,Sáng tạo thông tin,Lưu trữ thông tin,Truyền thông tin,B,"Bốn hoạt động cơ bản của quá trình xử lí thông tin là thu nhận, lưu trữ, xử lí và truyền thông tin. Sáng tạo thông tin không phải là một hoạt động cơ bản trong quá trình này.",2
chu-de-1-may-tinh-va-cong-dong-bai-2-xu-li-thong-tin,Con người thu nhận thông tin từ thế giới bên ngoài chủ yếu thông qua các bộ phận nào?,Tay và chân,"Mắt, tai, mũi, lưỡi, da",Não bộ và tim,Phổi và dạ dày,B,"Con người thu nhận thông tin nhờ các giác quan như mắt, tai, mũi, lưỡi, da.",1
chu-de-1-may-tinh-va-cong-dong-bai-2-xu-li-thong-tin,Thông tin ở con người được lưu trữ bằng những cách nào?,Chỉ ghi nhớ trong não bộ,Chỉ ghi chép vào vở,Ghi nhớ trong não bộ hoặc ghi chép,Chỉ lưu trữ trong máy tính,C,Thông tin được não bộ ghi nhớ hoặc con người lưu trữ bằng cách ghi chép.,1
chu-de-1-may-tinh-va-cong-dong-bai-2-xu-li-thong-tin,Não bộ xử lí thông tin bằng cách nào để đưa ra kết luận và quyết định?,Chỉ ghi nhớ và sao chép,"So sánh, phân tích và suy luận",Truyền thông tin và hiển thị,Chỉ thu nhận và lưu trữ,B,"Não bộ xử lí thông tin bằng cách so sánh, phân tích, suy luận để đưa ra kết luận và quyết định.",2
chu-de-1-may-tinh-va-cong-dong-bai-2-xu-li-thong-tin,"Sau khi não bộ xử lí thông tin, thông tin sẽ được truyền đi đâu?",Chỉ truyền đến các giác quan,Chỉ được chia sẻ với người khác,Đến các bộ phận cơ thể để chuyển hóa thành hành vi hoặc được chia sẻ với người khác,Chỉ được lưu trữ lại,C,Thông tin được truyền đến các bộ phận cơ thể để chuyển hóa thành hành vi hoặc được chia sẻ với người khác.,1
chu-de-1-may-tinh-va-cong-dong-bai-2-xu-li-thong-tin,Máy tính thực hiện mấy hoạt động cơ bản trong xử lí thông tin?,Một hoạt động: biến đổi thông tin,Hai hoạt động: thu nhận và truyền thông tin,"Ba hoạt động: thu nhận, lưu trữ và biến đổi thông tin","Bốn hoạt động: thu nhận, lưu trữ, biến đổi và truyền thông tin",D,"Máy tính cũng thực hiện bốn hoạt động xử lí thông tin tương tự con người: thu nhận, lưu trữ, biến đổi và truyền thông tin.",1
chu-de-1-may-tinh-va-cong-dong-bai-2-xu-li-thong-tin,Thiết bị nào sau đây giúp máy tính thu nhận thông tin?,Màn hình,Máy in,Bàn phím,Loa,C,"Thiết bị vào như bàn phím, chuột, máy quét giúp máy tính thu nhận thông tin.",1
chu-de-1-may-tinh-va-cong-dong-bai-2-xu-li-thong-tin,Bộ nhớ nào giúp máy tính lưu trữ thông tin?,Bộ xử lí trung tâm (CPU),"Đĩa quang, thẻ nhớ","Màn hình, máy in","Bàn phím, chuột",B,"Bộ nhớ như đĩa quang, thẻ nhớ giúp máy tính lưu trữ thông tin.",1
chu-de-1-may-tinh-va-cong-dong-bai-2-xu-li-thong-tin,Thành phần nào của máy tính có nhiệm vụ xử lí thông tin bằng cách thực hiện các chương trình?,Màn hình,Bàn phím,Bộ xử lí (CPU),Máy in,C,Bộ xử lí (CPU) giúp máy tính xử lí thông tin bằng cách thực hiện chương trình máy tính.,1
chu-de-1-may-tinh-va-cong-dong-bai-2-xu-li-thong-tin,Thiết bị nào sau đây giúp máy tính truyền hoặc chia sẻ thông tin?,Máy quét,Microphone,Webcam,Màn hình,D,"Thiết bị ra như màn hình, máy in giúp máy tính truyền hoặc chia sẻ thông tin.",1
chu-de-1-may-tinh-va-cong-dong-bai-2-xu-li-thong-tin,Ưu điểm nào sau đây mô tả đúng về khả năng thu nhận thông tin của máy tính?,Chỉ thu nhận được thông tin văn bản,Thu nhận thông tin chậm và không đa dạng,"Thu nhận thông tin dễ dàng, đa dạng và nhanh chóng",Chỉ thu nhận thông tin qua bàn phím,C,"Máy tính là công cụ hiệu quả giúp thu nhận thông tin dễ dàng, đa dạng và nhanh chóng.",2
chu-de-1-may-tinh-va-cong-dong-bai-2-xu-li-thong-tin,Đặc điểm nào thể hiện hiệu quả của máy tính trong việc xử lí thông tin?,Xử lí thông tin chậm và dễ mắc lỗi,"Xử lí thông tin với tốc độ cao, chính xác và bền bỉ",Chỉ xử lí được một lượng nhỏ thông tin,Không thể làm việc liên tục,B,"Máy tính xử lí thông tin với tốc độ cao, chính xác và bền bỉ, có thể làm việc liên tục.",2
chu-de-1-may-tinh-va-cong-dong-bai-2-xu-li-thong-tin,Khả năng lưu trữ thông tin của máy tính được thể hiện như thế nào?,Chỉ lưu trữ được vài trang văn bản,"Lưu trữ lượng thông tin rất lớn, ví dụ hàng nghìn cuốn sách trong một thẻ nhớ nhỏ",Không thể lưu trữ hình ảnh và video,Chỉ lưu trữ được trong thời gian ngắn,B,"Máy tính có thể lưu trữ lượng thông tin rất lớn, ví dụ hàng nghìn cuốn sách trong một thẻ nhớ nhỏ.",2
chu-de-1-may-tinh-va-cong-dong-bai-2-xu-li-thong-tin,Máy tính giúp con người trao đổi thông tin và kết nối tri thức toàn cầu bằng cách nào?,Chỉ qua việc in tài liệu,Chỉ qua việc lưu trữ dữ liệu,Thông qua mạng internet,Chỉ qua việc xử lí số liệu,C,Máy tính giúp trao đổi thông tin với mọi người và kết nối với kho tri thức khổng lồ qua mạng.,2
chu-de-1-may-tinh-va-cong-dong-bai-3-thong-tin-trong-may-tinh,Máy tính thông dụng hiện nay chỉ làm việc với mấy kí hiệu?,Một kí hiệu,Hai kí hiệu,Ba kí hiệu,Bốn kí hiệu,B,Máy tính chỉ làm việc với hai kí hiệu là 0 và 1.,1
chu-de-1-may-tinh-va-cong-dong-bai-3-thong-tin-trong-may-tinh,Mỗi kí hiệu 0 hoặc 1 trong máy tính được gọi là gì?,Byte,Pixel,Bit,Dãy bit,C,Mỗi kí hiệu 0 hoặc 1 được gọi là một bit.,1
chu-de-1-may-tinh-va-cong-dong-bai-3-thong-tin-trong-may-tinh,Một chuỗi các kí hiệu 0 và 1 được dùng để biểu diễn thông tin trong máy tính được gọi là gì?,Byte,Bit,Pixel,Dãy bit,D,Một chuỗi các kí hiệu 0 và 1 được gọi là dãy bit.,1
chu-de-1-may-tinh-va-cong-dong-bai-3-thong-tin-trong-may-tinh,Thông tin được biểu diễn trong máy tính bằng cách nào?,Bằng các chữ cái và con số như con người.,Bằng hình ảnh và âm thanh trực tiếp.,Bằng dãy các bit (kí hiệu 0 và 1).,Bằng các màu sắc khác nhau.,C,Mọi thông tin đều được chuyển thành dãy bit để máy tính xử lí.,1
chu-de-1-may-tinh-va-cong-dong-bai-3-thong-tin-trong-may-tinh,Số nhị phân là số được viết từ những kí hiệu nào?,Các kí hiệu từ 0 đến 9.,Chỉ hai kí hiệu 0 và 1.,"Các kí hiệu chữ cái A, B, C.","Các kí hiệu đặc biệt như @, #, $.",B,Số nhị phân là số được viết từ chỉ hai kí hiệu 0 và 1.,1
chu-de-1-may-tinh-va-cong-dong-bai-3-thong-tin-trong-may-tinh,"Để máy tính xử lí, những loại thông tin nào sau đây cần được chuyển thành dãy bit?",Chỉ số và văn bản.,Chỉ hình ảnh và âm thanh.,"Các số, văn bản, hình ảnh, âm thanh.",Chỉ các chương trình máy tính.,C,"Các số, văn bản, hình ảnh, âm thanh đều được chuyển thành dãy bit để máy tính xử lí.",2
chu-de-1-may-tinh-va-cong-dong-bai-3-thong-tin-trong-may-tinh,Văn bản được chuyển thành dãy bit trong máy tính bằng cách nào?,Chuyển toàn bộ văn bản thành một dãy bit duy nhất.,Chuyển từng kí tự một thành dãy bit theo bảng mã.,Máy tính tự động đọc hiểu chữ cái mà không cần chuyển đổi.,Chuyển đổi dựa trên độ dài của văn bản.,B,Văn bản được chuyển từng kí tự thành dãy bit theo quy tắc mã hóa.,2
chu-de-1-may-tinh-va-cong-dong-bai-3-thong-tin-trong-may-tinh,Hình ảnh số được tạo thành từ các điểm ảnh nào?,Các điểm ảnh lớn (megapixels).,"Các điểm ảnh (pixel), mỗi pixel được biểu thị bằng một bit.",Các đường nét và hình khối.,Các màu sắc cơ bản.,B,"Hình ảnh tạo từ pixel, mỗi pixel là 0 hoặc 1 (đen/trắng).",2
chu-de-1-may-tinh-va-cong-dong-bai-3-thong-tin-trong-may-tinh,Âm thanh được chuyển thành dãy bit để máy tính xử lí như thế nào?,"Ghi lại tốc độ rung dưới dạng giá trị số, sau đó chuyển thành dãy bit.",Chuyển trực tiếp sóng âm thành dãy bit.,Máy tính tự động nhận diện âm thanh mà không cần chuyển đổi.,Chuyển đổi dựa trên độ lớn của âm thanh.,A,"Âm thanh được ghi tốc độ rung, rồi chuyển thành dãy bit.",2
chu-de-1-may-tinh-va-cong-dong-bai-3-thong-tin-trong-may-tinh,Đơn vị nhỏ nhất trong lưu trữ thông tin là gì?,Byte,Kilobyte,Bit,Megabyte,C,Bit là đơn vị nhỏ nhất để lưu trữ thông tin.,1
chu-de-1-may-tinh-va-cong-dong-bai-3-thong-tin-trong-may-tinh,Một Byte gồm một dãy bao nhiêu bit liên tục?,2 bit,4 bit,8 bit,16 bit,C,Byte là một dãy gồm 8 bit liên tục.,1
